Player,Round ID,Date,Course,Weather Difficulty,Course Difficulty,Tournament,Benchmark,Shot,Hole,Score,Starting Distance,Starting Location,Ending Distance,Ending Location,Penalty,Starting SG,Ending SG,Strokes Gained
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,8,33,1,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,9,34,420,Tee,120,Fairway,No,4.26,2.95,0.31
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,9,35,120,Fairway,32,Green,No,2.95,2.02,-0.07
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,9,36,32,Green,1,Green,No,2.02,1.02,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,9,37,1,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,10,38,440,Tee,130,Fairway,No,4.33,2.99,0.34
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,10,39,130,Fairway,8,Green,No,2.99,1.50,0.49
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,10,40,8,Green,0,Green,No,1.50,0.00,0.50
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,11,41,185,Tee,32,Green,No,3.18,2.02,0.16
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,11,42,32,Green,2,Green,No,2.02,1.04,-0.02
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,11,43,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,12,44,390,Tee,140,Fairway,No,4.21,3.03,0.18
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,12,45,140,Fairway,21,Green,No,3.03,1.91,0.12
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,12,46,21,Green,2,Green,No,1.91,1.04,-0.13
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,12,47,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,13,48,550,Tee,230,Fairway,No,5.03,3.59,0.44
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,13,49,230,Fairway,32,Green,No,3.59,2.02,0.57
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,13,50,32,Green,2,Green,No,2.02,1.04,-0.02
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,13,51,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,14,52,178,Tee,29,Green,No,3.15,2.00,0.15
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,14,53,29,Green,2,Green,No,2.00,1.04,-0.04
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,14,54,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,15,55,460,Tee,175,Recovery,No,4.44,4.05,-0.61
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,15,56,175,Recovery,23,Fairway,No,4.05,2.47,0.58
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,15,57,23,Fairway,12,Green,No,2.47,1.70,-0.23
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,15,58,12,Green,2,Green,No,1.70,1.04,-0.34
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,5,15,59,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,16,60,380,Tee,120,Fairway,No,4.19,2.95,0.24
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,16,61,120,Fairway,14,Green,No,2.95,1.76,0.19
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,16,62,14,Green,2,Green,No,1.76,1.04,-0.28
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,16,63,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,17,64,340,Tee,80,Fairway,No,4.07,2.82,0.25
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,17,65,80,Fairway,2,Green,No,2.82,1.04,0.78
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,17,66,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,1,18,67,550,Tee,230,Fairway,No,5.03,3.59,0.44
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,2,18,68,230,Fairway,23,Sand,No,3.59,2.63,-0.04
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,3,18,69,23,Sand,21,Green,No,2.63,1.91,-0.28
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,4,18,70,21,Green,2,Green,No,1.91,1.04,-0.13
Adam,R1769787317558,2026-01-30,Gaston,Cold,Standard,Practice,Scratch Golfer,5,18,71,2,Green,0,Green,No,1.00,0.00,0.00
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,1,1,400,Tee,125,Fairway,No,4.23,2.97,0.26
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,1,2,125,Fairway,25,Rough,No,2.97,2.68,-0.71
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,1,3,25,Rough,5,Fairway,No,2.68,1.87,-0.19
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,1,4,5,Fairway,4,Green,No,1.87,1.14,-0.27
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,5,1,5,4,Green,0,Green,No,1.14,0.00,0.14
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,2,6,190,Tee,32,Green,No,3.20,2.02,0.18
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,2,7,32,Green,3,Green,No,2.02,1.05,-0.03
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,2,8,3,Green,0,Green,No,1.05,0.00,0.05
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,3,9,410,Tee,110,Rough,No,4.25,3.17,0.08
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,3,10,110,Rough,10,Green,No,3.17,1.63,0.54
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,3,11,10,Green,2,Green,No,1.63,1.04,-0.41
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,3,12,2,Green,0,Green,No,1.04,0.00,0.04
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,4,14,560,Tee,560,Tee,Yes,5.08,5.08,-2.00
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,4,15,560,Tee,250,Fairway,No,5.08,3.74,0.34
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,4,16,250,Fairway,12,Fairway,No,3.74,2.21,0.53
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,4,17,12,Fairway,6,Green,No,2.21,1.32,-0.11
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,5,4,18,6,Green,0,Green,No,1.32,0.00,0.32
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,5,19,340,Tee,100,Fairway,No,4.07,2.89,0.18
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,5,20,100,Fairway,15,Green,No,2.89,1.80,0.09
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,5,21,15,Green,1,Green,No,1.80,1.02,-0.22
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,5,22,1,Green,0,Green,No,1.02,0.00,0.02
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,6,23,450,Tee,140,Fairway,No,4.38,3.03,0.36
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,6,24,140,Fairway,22,Fairway,No,3.03,2.45,-0.42
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,6,25,22,Fairway,4,Fairway,No,2.45,1.75,-0.30
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,6,26,4,Fairway,0,Fairway,No,1.75,0.00,0.75
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,7,27,170,Tee,12,Sand,No,3.13,2.51,-0.38
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,7,28,12,Sand,5,Green,No,2.51,1.23,0.28
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,7,29,5,Green,1,Green,No,1.23,1.02,-0.79
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,7,30,1,Green,0,Green,No,1.02,0.00,0.02
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,8,31,540,Tee,220,Fairway,No,4.98,3.52,0.46
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,8,32,220,Fairway,35,Green,No,3.52,2.04,0.48
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,8,33,35,Green,2,Green,No,2.04,1.04,0.00
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,8,34,2,Green,0,Green,No,1.04,0.00,0.04
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,9,35,480,Tee,120,Fairway,No,4.56,2.95,0.61
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,9,36,120,Fairway,23,Rough,No,2.95,2.64,-0.69
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,9,37,23,Rough,6,Green,No,2.64,1.32,0.32
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,9,38,6,Green,1,Green,No,1.32,1.02,-0.70
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,5,9,39,1,Green,0,Green,No,1.02,0.00,0.02
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,10,40,378,Tee,160,Fairway,No,4.19,3.12,0.07
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,10,41,160,Fairway,4,Green,No,3.12,1.14,0.98
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,10,42,4,Green,0,Green,No,1.14,0.00,0.14
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,11,43,550,Tee,260,Fairway,No,5.03,3.81,0.22
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,11,44,260,Fairway,50,Fairway,No,3.81,2.70,0.11
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,11,45,50,Fairway,22,Green,No,2.70,1.92,-0.22
